name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.653,-0.018,3.827,0.01,08:28:09,20-09-2024
scotiabank,bank,3.657,-0.002,3.834,0.004,08:28:09,20-09-2024
Interbank,bank,3.695,-0.005,3.82,0.014,08:28:09,20-09-2024
bcp,bank,3.703,0.001,3.792,0.004,08:28:09,20-09-2024
nacion,bank,3.72,0.0,3.9,0.1,08:28:09,20-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,08:28:09,20-09-2024
canada,currency,2.72,-0.01,2.83,0.0,08:28:09,20-09-2024
euro ocoña,currency,4.297,0.012,4.32,0.015,08:28:09,20-09-2024
Libra,currency,5.15,5.15,0.0,-5.3,08:28:09,20-09-2024
bbva,bank,3.653,-0.018,3.827,0.01,08:41:12,20-09-2024
scotiabank,bank,3.657,-0.002,3.834,0.004,08:41:12,20-09-2024
Interbank,bank,3.695,-0.005,3.82,0.014,08:41:12,20-09-2024
bcp,bank,3.703,0.001,3.792,0.004,08:41:12,20-09-2024
nacion,bank,3.72,0.0,3.9,0.1,08:41:12,20-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,08:41:12,20-09-2024
canada,currency,2.72,-0.01,2.83,0.0,08:41:12,20-09-2024
euro ocoña,currency,4.297,0.012,4.32,0.015,08:41:12,20-09-2024
Libra,currency,5.15,5.15,0.0,-5.3,08:41:12,20-09-2024
scotiabank,bank,3.659,0.002,3.836,0.002,09:22:45,20-09-2024
bbva,bank,3.673,0.02,3.824,-0.003,09:22:45,20-09-2024
Interbank,bank,3.7,0.005,3.812,-0.008,09:22:45,20-09-2024
bcp,bank,3.703,0.0,3.792,0.0,09:22:45,20-09-2024
nacion,bank,3.72,0.0,3.9,0.1,09:22:45,20-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,09:22:45,20-09-2024
canada,currency,2.72,-0.01,2.83,0.0,09:22:45,20-09-2024
euro ocoña,currency,4.297,0.012,4.32,0.015,09:22:45,20-09-2024
Libra,currency,5.15,5.15,0.0,-5.3,09:22:45,20-09-2024
scotiabank,bank,3.659,0.002,3.836,0.002,09:41:25,20-09-2024
bbva,bank,3.673,0.02,3.824,-0.003,09:41:25,20-09-2024
Interbank,bank,3.7,0.005,3.812,-0.008,09:41:25,20-09-2024
bcp,bank,3.703,0.0,3.792,0.0,09:41:25,20-09-2024
nacion,bank,3.72,0.0,3.9,0.0,09:41:25,20-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,09:41:25,20-09-2024
canada,currency,2.72,-0.01,2.83,0.0,09:41:25,20-09-2024
euro ocoña,currency,4.297,0.012,4.32,0.015,09:41:25,20-09-2024
Libra,currency,5.15,5.15,0.0,-5.3,09:41:25,20-09-2024
scotiabank,bank,3.659,0.002,3.836,0.002,10:24:42,20-09-2024
bbva,bank,3.673,0.02,3.824,-0.003,10:24:42,20-09-2024
Interbank,bank,3.7,0.005,3.812,-0.008,10:24:42,20-09-2024
bcp,bank,3.703,0.0,3.792,0.0,10:24:42,20-09-2024
nacion,bank,3.72,0.0,3.9,0.0,10:24:42,20-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,10:24:42,20-09-2024
canada,currency,2.72,-0.01,2.83,0.0,10:24:42,20-09-2024
euro ocoña,currency,4.297,0.012,4.32,0.015,10:24:42,20-09-2024
Libra,currency,5.15,5.15,0.0,-5.3,10:24:42,20-09-2024
scotiabank,bank,3.659,0.002,3.836,0.002,10:40:55,20-09-2024
bbva,bank,3.673,0.02,3.824,-0.003,10:40:55,20-09-2024
Interbank,bank,3.7,0.005,3.812,-0.008,10:40:55,20-09-2024
bcp,bank,3.703,0.0,3.792,0.0,10:40:55,20-09-2024
nacion,bank,3.72,0.0,3.9,0.0,10:40:55,20-09-2024
Yuan,currency,0.482,0.012,0.56,0.0,10:40:55,20-09-2024
