name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.648,-0.023,3.829,0.013,08:40:00,28-08-2024
scotiabank,bank,3.651,-0.006,3.826,-0.002,08:40:00,28-08-2024
Interbank,bank,3.671,-0.007,3.799,0.003,08:40:00,28-08-2024
bcp,bank,3.693,-0.008,3.779,-0.007,08:40:00,28-08-2024
nacion,bank,3.73,0.0,3.79,0.0,08:40:00,28-08-2024
Yuan,currency,0.46,0.01,0.55,0.01,08:40:00,28-08-2024
canada,currency,2.735,0.005,2.82,0.01,08:40:00,28-08-2024
euro ocoña,currency,4.21,0.005,4.23,0.015,08:40:00,28-08-2024
Libra,currency,4.96,0.11,5.02,0.03,08:40:00,28-08-2024
scotiabank,bank,3.652,0.001,3.829,0.003,09:21:31,28-08-2024
bbva,bank,3.665,0.017,3.817,-0.012,09:21:31,28-08-2024
Interbank,bank,3.673,0.002,3.797,-0.002,09:21:31,28-08-2024
bcp,bank,3.695,0.002,3.787,0.008,09:21:31,28-08-2024
nacion,bank,3.73,0.0,3.79,0.0,09:21:31,28-08-2024
Yuan,currency,0.46,0.01,0.55,0.01,09:21:31,28-08-2024
canada,currency,2.735,0.005,2.82,0.01,09:21:31,28-08-2024
euro ocoña,currency,4.21,0.005,4.23,0.015,09:21:31,28-08-2024
Libra,currency,4.96,0.11,5.02,0.03,09:21:31,28-08-2024
scotiabank,bank,3.652,0.001,3.829,0.003,09:40:51,28-08-2024
bbva,bank,3.665,0.017,3.817,-0.012,09:40:51,28-08-2024
Interbank,bank,3.673,0.002,3.797,-0.002,09:40:51,28-08-2024
bcp,bank,3.695,0.002,3.787,0.008,09:40:51,28-08-2024
nacion,bank,3.73,0.0,3.79,0.0,09:40:51,28-08-2024
Yuan,currency,0.46,0.01,0.55,0.01,09:40:51,28-08-2024
canada,currency,2.735,0.005,2.82,0.01,09:40:51,28-08-2024
euro ocoña,currency,4.21,0.005,4.23,0.015,09:40:51,28-08-2024
Libra,currency,4.96,0.11,5.02,0.03,09:40:51,28-08-2024
scotiabank,bank,3.652,0.001,3.829,0.003,10:23:55,28-08-2024
bbva,bank,3.665,0.017,3.817,-0.012,10:23:55,28-08-2024
Interbank,bank,3.673,0.002,3.797,-0.002,10:23:55,28-08-2024
bcp,bank,3.695,0.002,3.787,0.008,10:23:55,28-08-2024
nacion,bank,3.73,0.0,3.79,0.0,10:23:55,28-08-2024
Yuan,currency,0.46,0.01,0.55,0.01,10:23:55,28-08-2024
canada,currency,2.735,0.005,2.82,0.01,10:23:55,28-08-2024
euro ocoña,currency,4.21,0.005,4.23,0.015,10:23:55,28-08-2024
Libra,currency,4.96,0.11,5.02,0.03,10:23:55,28-08-2024
scotiabank,bank,3.652,0.001,3.829,0.003,10:41:01,28-08-2024
bbva,bank,3.665,0.017,3.817,-0.012,10:41:01,28-08-2024
Interbank,bank,3.673,0.002,3.797,-0.002,10:41:01,28-08-2024
bcp,bank,3.695,0.002,3.787,0.008,10:41:01,28-08-2024
nacion,bank,3.73,0.0,3.79,0.0,10:41:01,28-08-2024
Yuan,currency,0.46,0.01,0.55,0.01,10:41:01,28-08-2024
canada,currency,2.735,0.005,2.82,0.01,10:41:01,28-08-2024
euro ocoña,currency,4.21,0.005,4.23,0.015,10:41:01,28-08-2024
Libra,currency,4.96,0.11,5.02,0.03,10:41:01,28-08-2024
