name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.678,-0.027,3.839,0.007,08:30:28,30-10-2024
scotiabank,bank,3.682,0.001,3.86,0.008,08:30:28,30-10-2024
bcp,bank,3.728,0.002,3.813,0.001,08:30:28,30-10-2024
nacion,bank,3.73,0.0,3.8,0.0,08:30:28,30-10-2024
Interbank,bank,3.74,-0.009,3.8,0.01,08:30:28,30-10-2024
Yuan,currency,0.493,-0.002,0.58,0.0,08:30:28,30-10-2024
canada,currency,2.63,0.0,2.783,-0.002,08:30:28,30-10-2024
euro ocoña,currency,4.21,-0.007,4.23,-0.005,08:30:28,30-10-2024
Libra,currency,4.97,-0.03,5.08,-0.04,08:30:28,30-10-2024
bbva,bank,3.678,-0.027,3.839,0.007,08:42:59,30-10-2024
scotiabank,bank,3.682,0.001,3.86,0.008,08:42:59,30-10-2024
bcp,bank,3.728,0.002,3.813,0.001,08:42:59,30-10-2024
nacion,bank,3.73,0.0,3.8,0.0,08:42:59,30-10-2024
Interbank,bank,3.74,-0.009,3.8,0.01,08:42:59,30-10-2024
Yuan,currency,0.493,-0.002,0.58,0.0,08:42:59,30-10-2024
canada,currency,2.63,0.0,2.783,-0.002,08:42:59,30-10-2024
euro ocoña,currency,4.21,-0.007,4.23,-0.005,08:42:59,30-10-2024
Libra,currency,4.97,-0.03,5.08,-0.04,08:42:59,30-10-2024
scotiabank,bank,3.692,0.01,3.865,0.005,09:24:03,30-10-2024
bbva,bank,3.714,0.036,3.842,0.003,09:24:03,30-10-2024
bcp,bank,3.735,0.007,3.821,0.008,09:24:03,30-10-2024
nacion,bank,3.74,0.01,3.81,0.01,09:24:03,30-10-2024
Interbank,bank,3.756,0.016,3.8,0.0,09:24:03,30-10-2024
Yuan,currency,0.493,-0.002,0.58,0.0,09:24:03,30-10-2024
canada,currency,2.63,0.0,2.783,-0.002,09:24:03,30-10-2024
euro ocoña,currency,4.21,-0.007,4.23,-0.005,09:24:03,30-10-2024
Libra,currency,4.97,-0.03,5.08,-0.04,09:24:03,30-10-2024
scotiabank,bank,3.692,0.01,3.865,0.005,09:43:29,30-10-2024
bbva,bank,3.714,0.036,3.842,0.003,09:43:29,30-10-2024
bcp,bank,3.735,0.007,3.821,0.008,09:43:29,30-10-2024
nacion,bank,3.74,0.01,3.81,0.01,09:43:29,30-10-2024
Interbank,bank,3.756,0.016,3.8,0.0,09:43:29,30-10-2024
Yuan,currency,0.493,-0.002,0.58,0.0,09:43:29,30-10-2024
canada,currency,2.63,0.0,2.783,-0.002,09:43:29,30-10-2024
euro ocoña,currency,4.21,-0.007,4.23,-0.005,09:43:29,30-10-2024
Libra,currency,4.97,-0.03,5.08,-0.04,09:43:29,30-10-2024
scotiabank,bank,3.692,0.01,3.865,0.005,10:25:48,30-10-2024
bbva,bank,3.714,0.036,3.842,0.003,10:25:48,30-10-2024
bcp,bank,3.735,0.007,3.821,0.008,10:25:48,30-10-2024
nacion,bank,3.74,0.01,3.81,0.01,10:25:48,30-10-2024
Interbank,bank,3.756,0.016,3.8,0.0,10:25:48,30-10-2024
Yuan,currency,0.493,-0.002,0.58,0.0,10:25:48,30-10-2024
canada,currency,2.63,0.0,2.783,-0.002,10:25:48,30-10-2024
euro ocoña,currency,4.21,-0.007,4.23,-0.005,10:25:48,30-10-2024
Libra,currency,4.97,-0.03,5.08,-0.04,10:25:48,30-10-2024
scotiabank,bank,3.692,0.01,3.865,0.005,10:43:16,30-10-2024
bbva,bank,3.714,0.036,3.842,0.003,10:43:16,30-10-2024
bcp,bank,3.735,0.007,3.821,0.008,10:43:16,30-10-2024
nacion,bank,3.74,0.01,3.81,0.01,10:43:16,30-10-2024
Interbank,bank,3.756,0.016,3.8,0.0,10:43:16,30-10-2024
Yuan,currency,0.493,-0.002,0.58,0.0,10:43:16,30-10-2024
canada,currency,2.63,0.0,2.783,-0.002,10:43:16,30-10-2024
euro ocoña,currency,4.212,0.002,4.235,0.005,10:43:16,30-10-2024
Libra,currency,4.97,-0.03,5.08,-0.04,10:43:16,30-10-2024
scotiabank,bank,3.692,0.01,3.865,0.005,11:30:16,30-10-2024
bbva,bank,3.714,0.036,3.842,0.003,11:30:16,30-10-2024
bcp,bank,3.735,0.007,3.821,0.008,11:30:16,30-10-2024
nacion,bank,3.74,0.01,3.81,0.01,11:30:16,30-10-2024
Interbank,bank,3.756,0.016,3.8,0.0,11:30:16,30-10-2024
Yuan,currency,0.493,-0.002,0.58,0.0,11:30:16,30-10-2024
canada,currency,2.63,0.0,2.783,-0.002,11:30:16,30-10-2024
euro ocoña,currency,4.212,0.002,4.235,0.005,11:30:16,30-10-2024
Libra,currency,4.97,-0.03,5.08,-0.04,11:30:16,30-10-2024
