name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.671,-0.039,3.834,-0.002,08:28:40,11-11-2024
bcp,bank,3.722,-0.008,3.809,-0.006,08:28:40,11-11-2024
Interbank,bank,3.725,-0.017,3.805,0.002,08:28:40,11-11-2024
nacion,bank,3.73,0.0,3.8,0.0,08:28:40,11-11-2024
scotiabank,bank,3.748,-0.011,3.782,-0.001,08:28:40,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,08:28:40,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,08:28:40,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,08:28:40,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,08:28:40,11-11-2024
bbva,bank,3.671,-0.039,3.834,-0.002,08:41:26,11-11-2024
bcp,bank,3.722,-0.008,3.809,-0.006,08:41:26,11-11-2024
Interbank,bank,3.725,-0.017,3.805,0.002,08:41:26,11-11-2024
nacion,bank,3.73,0.0,3.8,0.0,08:41:26,11-11-2024
scotiabank,bank,3.748,-0.011,3.782,-0.001,08:41:26,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,08:41:26,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,08:41:26,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,08:41:26,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,08:41:26,11-11-2024
bbva,bank,3.71,0.039,3.838,0.004,09:23:58,11-11-2024
bcp,bank,3.732,0.01,3.817,0.008,09:23:58,11-11-2024
nacion,bank,3.74,0.01,3.81,0.01,09:23:58,11-11-2024
Interbank,bank,3.75,0.025,3.805,0.0,09:23:58,11-11-2024
scotiabank,bank,3.762,0.014,3.787,0.005,09:23:58,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,09:23:58,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,09:23:58,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,09:23:58,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,09:23:58,11-11-2024
bbva,bank,3.71,0.039,3.838,0.004,09:42:24,11-11-2024
bcp,bank,3.732,0.01,3.817,0.008,09:42:24,11-11-2024
nacion,bank,3.74,0.01,3.81,0.01,09:42:24,11-11-2024
Interbank,bank,3.75,0.025,3.805,0.0,09:42:24,11-11-2024
scotiabank,bank,3.762,0.014,3.787,0.005,09:42:24,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,09:42:24,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,09:42:24,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,09:42:24,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,09:42:24,11-11-2024
bbva,bank,3.71,0.039,3.838,0.004,10:24:24,11-11-2024
bcp,bank,3.732,0.01,3.817,0.008,10:24:24,11-11-2024
nacion,bank,3.74,0.01,3.81,0.01,10:24:24,11-11-2024
Interbank,bank,3.75,0.025,3.805,0.0,10:24:24,11-11-2024
scotiabank,bank,3.762,0.014,3.787,0.005,10:24:24,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,10:24:24,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,10:24:24,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,10:24:24,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,10:24:24,11-11-2024
bbva,bank,3.71,0.039,3.838,0.004,10:40:57,11-11-2024
bcp,bank,3.732,0.01,3.817,0.008,10:40:57,11-11-2024
nacion,bank,3.74,0.01,3.81,0.01,10:40:57,11-11-2024
Interbank,bank,3.75,0.025,3.805,0.0,10:40:57,11-11-2024
scotiabank,bank,3.762,0.014,3.787,0.005,10:40:57,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,10:40:57,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,10:40:57,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,10:40:57,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,10:40:57,11-11-2024
bbva,bank,3.71,0.039,3.838,0.004,11:30:12,11-11-2024
bcp,bank,3.732,0.01,3.817,0.008,11:30:12,11-11-2024
nacion,bank,3.74,0.01,3.81,0.01,11:30:12,11-11-2024
Interbank,bank,3.75,0.025,3.805,0.0,11:30:12,11-11-2024
scotiabank,bank,3.762,0.014,3.787,0.005,11:30:12,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,11:30:12,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,11:30:12,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,11:30:12,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,11:30:12,11-11-2024
bbva,bank,3.71,0.039,3.838,0.004,11:45:56,11-11-2024
bcp,bank,3.732,0.01,3.817,0.008,11:45:56,11-11-2024
nacion,bank,3.74,0.01,3.81,0.01,11:45:56,11-11-2024
Interbank,bank,3.75,0.025,3.805,0.0,11:45:56,11-11-2024
scotiabank,bank,3.762,0.014,3.787,0.005,11:45:56,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,11:45:56,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,11:45:56,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,11:45:56,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,11:45:56,11-11-2024
bbva,bank,3.714,0.004,3.84,0.002,12:20:46,11-11-2024
bcp,bank,3.735,0.003,3.82,0.003,12:20:46,11-11-2024
nacion,bank,3.74,0.0,3.81,0.0,12:20:46,11-11-2024
Interbank,bank,3.752,0.002,3.798,-0.007,12:20:46,11-11-2024
scotiabank,bank,3.765,0.003,3.79,0.003,12:20:46,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,12:20:46,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,12:20:46,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,12:20:46,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,12:20:46,11-11-2024
bbva,bank,3.714,0.004,3.84,0.002,12:40:14,11-11-2024
bcp,bank,3.735,0.003,3.82,0.003,12:40:14,11-11-2024
nacion,bank,3.74,0.0,3.81,0.0,12:40:14,11-11-2024
Interbank,bank,3.752,0.002,3.798,-0.007,12:40:14,11-11-2024
scotiabank,bank,3.765,0.003,3.79,0.003,12:40:14,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,12:40:14,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,12:40:14,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,12:40:14,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,12:40:14,11-11-2024
bbva,bank,3.714,0.004,3.84,0.002,13:30:55,11-11-2024
bcp,bank,3.735,0.003,3.82,0.003,13:30:55,11-11-2024
nacion,bank,3.74,0.0,3.81,0.0,13:30:55,11-11-2024
Interbank,bank,3.752,0.002,3.798,-0.007,13:30:55,11-11-2024
scotiabank,bank,3.765,0.003,3.79,0.003,13:30:55,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,13:30:55,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,13:30:55,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,13:30:55,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,13:30:55,11-11-2024
bbva,bank,3.714,0.004,3.84,0.002,13:44:41,11-11-2024
bcp,bank,3.735,0.003,3.82,0.003,13:44:41,11-11-2024
nacion,bank,3.74,0.0,3.81,0.0,13:44:41,11-11-2024
Interbank,bank,3.752,0.002,3.798,-0.007,13:44:41,11-11-2024
scotiabank,bank,3.765,0.003,3.79,0.003,13:44:41,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,13:44:41,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,13:44:41,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,13:44:41,11-11-2024
Libra,currency,4.92,-0.055,5.06,-0.02,13:44:41,11-11-2024
bbva,bank,3.685,-0.029,3.847,0.007,14:17:42,11-11-2024
Interbank,bank,3.735,-0.017,3.815,0.017,14:17:42,11-11-2024
bcp,bank,3.737,0.002,3.824,0.004,14:17:42,11-11-2024
nacion,bank,3.74,0.0,3.81,0.0,14:17:42,11-11-2024
scotiabank,bank,3.765,0.003,3.79,0.003,14:17:42,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,14:17:42,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,14:17:42,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,14:17:42,11-11-2024
Libra,currency,4.9,-0.02,5.06,0.0,14:17:42,11-11-2024
bbva,bank,3.685,-0.029,3.847,0.007,14:39:57,11-11-2024
Interbank,bank,3.735,-0.017,3.815,0.017,14:39:57,11-11-2024
bcp,bank,3.737,0.002,3.824,0.004,14:39:57,11-11-2024
nacion,bank,3.74,0.0,3.81,0.0,14:39:57,11-11-2024
scotiabank,bank,3.764,-0.001,3.796,0.006,14:39:57,11-11-2024
Yuan,currency,0.49,-0.002,0.58,0.0,14:39:57,11-11-2024
canada,currency,2.635,0.005,2.783,0.0,14:39:57,11-11-2024
euro ocoña,currency,4.17,-0.005,4.19,-0.005,14:39:57,11-11-2024
Libra,currency,4.9,-0.02,5.06,0.0,14:39:57,11-11-2024
