name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
scotiabank,bank,3.658,0.01,3.829,0.0,08:23:10,
bbva,bank,3.67,0.004,3.817,0.002,08:23:10,
Interbank,bank,3.678,0.005,3.789,0.001,08:23:10,
bcp,bank,3.7,0.004,3.787,0.002,08:23:10,
nacion,bank,3.71,0.0,3.78,0.0,08:23:10,
Yuan,currency,0.45,-0.01,0.54,0.0,08:23:10,
canada,currency,2.65,-0.04,2.795,-0.005,08:23:10,
euro ocoña,currency,4.17,-0.001,4.19,0.0,08:23:10,
Libra,currency,4.85,-0.01,4.99,0.0,08:23:10,
scotiabank,bank,3.658,0.01,3.829,0.0,08:53:44,
bbva,bank,3.67,0.004,3.817,0.002,08:53:44,
Interbank,bank,3.678,0.005,3.789,0.001,08:53:44,
bcp,bank,3.7,0.004,3.787,0.002,08:53:44,
nacion,bank,3.71,0.0,3.78,0.0,08:53:44,
Yuan,currency,0.45,-0.01,0.54,0.0,08:53:44,
canada,currency,2.65,-0.04,2.795,-0.005,08:53:44,
euro ocoña,currency,4.17,-0.001,4.19,0.0,08:53:44,
Libra,currency,4.85,-0.01,4.99,0.0,08:53:44,
scotiabank,bank,3.646,-0.012,3.817,-0.012,09:20:09,
bbva,bank,3.66,-0.01,3.804,-0.013,09:20:09,
Interbank,bank,3.666,-0.012,3.778,-0.011,09:20:09,
bcp,bank,3.689,-0.011,3.775,-0.012,09:20:09,
nacion,bank,3.71,0.0,3.78,0.0,09:20:09,
Yuan,currency,0.45,-0.01,0.54,0.0,09:20:09,
canada,currency,2.65,-0.04,2.795,-0.005,09:20:09,
euro ocoña,currency,4.17,-0.001,4.19,0.0,09:20:09,
Libra,currency,4.85,-0.01,4.99,0.0,09:20:09,
scotiabank,bank,3.646,-0.012,3.817,-0.012,09:53:45,
bbva,bank,3.66,-0.01,3.804,-0.013,09:53:45,
Interbank,bank,3.666,-0.012,3.778,-0.011,09:53:45,
bcp,bank,3.689,-0.011,3.775,-0.012,09:53:45,
nacion,bank,3.71,0.0,3.77,-0.01,09:53:45,
Yuan,currency,0.45,-0.01,0.54,0.0,09:53:45,
canada,currency,2.65,-0.04,2.795,-0.005,09:53:45,
euro ocoña,currency,4.17,-0.001,4.19,0.0,09:53:45,
Libra,currency,4.85,-0.01,4.99,0.0,09:53:45,
scotiabank,bank,3.646,-0.012,3.817,-0.012,10:21:06,
bbva,bank,3.66,-0.01,3.804,-0.013,10:21:06,
Interbank,bank,3.666,-0.012,3.778,-0.011,10:21:06,
bcp,bank,3.689,-0.011,3.775,-0.012,10:21:06,
nacion,bank,3.71,0.0,3.77,-0.01,10:21:06,
Yuan,currency,0.45,-0.01,0.54,0.0,10:21:06,
canada,currency,2.65,-0.04,2.795,-0.005,10:21:06,
euro ocoña,currency,4.17,-0.001,4.19,0.0,10:21:06,
Libra,currency,4.85,-0.01,4.99,0.0,10:21:06,
scotiabank,bank,3.646,-0.012,3.817,-0.012,10:53:31,
bbva,bank,3.66,-0.01,3.804,-0.013,10:53:31,
Interbank,bank,3.666,-0.012,3.778,-0.011,10:53:31,
bcp,bank,3.689,-0.011,3.775,-0.012,10:53:31,
nacion,bank,3.71,0.0,3.77,-0.01,10:53:31,
Yuan,currency,0.45,-0.01,0.54,0.0,10:53:31,
canada,currency,2.65,-0.04,2.795,-0.005,10:53:31,
