name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.632,-0.027,3.798,0.002,08:29:42,27-09-2024
scotiabank,bank,3.635,-0.007,3.819,0.006,08:29:42,27-09-2024
Interbank,bank,3.678,-0.012,3.806,0.009,08:29:42,27-09-2024
bcp,bank,3.681,-0.004,3.768,-0.006,08:29:42,27-09-2024
nacion,bank,3.71,-0.02,3.8,0.0,08:29:42,27-09-2024
Yuan,currency,0.495,0.013,0.555,-0.005,08:29:42,27-09-2024
canada,currency,2.73,-0.015,2.79,-0.07,08:29:42,27-09-2024
euro ocoña,currency,4.3,-0.04,4.32,-0.04,08:29:42,27-09-2024
Libra,currency,5.19,0.04,5.29,0.01,08:29:42,27-09-2024
bbva,bank,3.632,-0.027,3.798,0.002,08:41:10,27-09-2024
scotiabank,bank,3.635,-0.007,3.819,0.006,08:41:10,27-09-2024
Interbank,bank,3.678,-0.012,3.806,0.009,08:41:10,27-09-2024
bcp,bank,3.681,-0.004,3.768,-0.006,08:41:10,27-09-2024
nacion,bank,3.71,-0.02,3.8,0.0,08:41:10,27-09-2024
Yuan,currency,0.495,0.013,0.555,-0.005,08:41:10,27-09-2024
canada,currency,2.73,-0.015,2.79,-0.07,08:41:10,27-09-2024
euro ocoña,currency,4.3,-0.04,4.32,-0.04,08:41:10,27-09-2024
Libra,currency,5.19,0.04,5.29,0.01,08:41:10,27-09-2024
scotiabank,bank,3.633,-0.002,3.814,-0.005,09:24:06,27-09-2024
bbva,bank,3.652,0.02,3.791,-0.007,09:24:06,27-09-2024
bcp,bank,3.678,-0.003,3.772,0.004,09:24:06,27-09-2024
Interbank,bank,3.683,0.005,3.798,-0.008,09:24:06,27-09-2024
nacion,bank,3.71,0.0,3.8,0.0,09:24:06,27-09-2024
Yuan,currency,0.495,0.013,0.555,-0.005,09:24:06,27-09-2024
canada,currency,2.73,-0.015,2.79,-0.07,09:24:06,27-09-2024
euro ocoña,currency,4.3,-0.04,4.32,-0.04,09:24:06,27-09-2024
Libra,currency,5.19,0.04,5.29,0.01,09:24:06,27-09-2024
