name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.705,0.084,3.832,-0.061,13:46:23,10-01-2025
bcp,bank,3.726,-0.004,3.812,-0.01,13:46:23,10-01-2025
Interbank,bank,3.738,0.001,3.8,-0.01,13:46:23,10-01-2025
nacion,bank,3.74,0.0,3.81,0.0,13:46:23,10-01-2025
scotiabank,bank,3.753,-0.004,3.785,-0.01,13:46:23,10-01-2025
Yuan,currency,0.505,-0.01,0.58,0.0,13:46:23,10-01-2025
canada,currency,2.45,-0.02,2.61,-0.03,13:46:23,10-01-2025
euro ocoña,currency,3.927,0.017,3.95,0.025,13:46:23,10-01-2025
Libra,currency,4.72,-0.05,4.91,-0.05,13:46:23,10-01-2025
bbva,bank,3.693,-0.012,3.851,0.019,14:18:04,10-01-2025
bcp,bank,3.729,0.003,3.815,0.003,14:18:04,10-01-2025
Interbank,bank,3.73,-0.008,3.81,0.01,14:18:04,10-01-2025
nacion,bank,3.74,0.0,3.81,0.0,14:18:04,10-01-2025
scotiabank,bank,3.75,-0.003,3.79,0.005,14:18:04,10-01-2025
Yuan,currency,0.505,-0.01,0.58,0.0,14:18:04,10-01-2025
canada,currency,2.45,-0.02,2.61,-0.03,14:18:04,10-01-2025
euro ocoña,currency,3.927,0.017,3.95,0.025,14:18:04,10-01-2025
Libra,currency,4.72,-0.05,4.91,-0.05,14:18:04,10-01-2025
