name,type,buy_cost,buy_variation,sale_cost,sale_variation,time,day
bbva,bank,3.701,-0.023,3.864,0.013,08:29:04,13-11-2024
nacion,bank,3.74,0.0,3.81,0.0,08:29:04,13-11-2024
bcp,bank,3.752,0.006,3.839,0.008,08:29:04,13-11-2024
Interbank,bank,3.755,-0.003,3.835,0.016,08:29:04,13-11-2024
scotiabank,bank,3.778,0.001,3.812,0.01,08:29:04,13-11-2024
Yuan,currency,0.5,0.01,0.585,0.005,08:29:04,13-11-2024
canada,currency,2.635,0.005,2.783,0.0,08:29:04,13-11-2024
euro ocoña,currency,4.14,-0.01,4.165,-0.005,08:29:04,13-11-2024
Libra,currency,4.92,0.02,5.06,0.0,08:29:04,13-11-2024
bbva,bank,3.701,-0.023,3.864,0.013,08:41:32,13-11-2024
nacion,bank,3.74,0.0,3.81,0.0,08:41:32,13-11-2024
bcp,bank,3.752,0.006,3.839,0.008,08:41:32,13-11-2024
Interbank,bank,3.755,-0.003,3.835,0.016,08:41:32,13-11-2024
scotiabank,bank,3.778,0.001,3.812,0.01,08:41:32,13-11-2024
Yuan,currency,0.5,0.01,0.585,0.005,08:41:32,13-11-2024
canada,currency,2.635,0.005,2.783,0.0,08:41:32,13-11-2024
euro ocoña,currency,4.14,-0.01,4.165,-0.005,08:41:32,13-11-2024
Libra,currency,4.92,0.02,5.06,0.0,08:41:32,13-11-2024
bbva,bank,3.727,0.026,3.856,-0.008,09:23:26,13-11-2024
bcp,bank,3.749,-0.003,3.835,-0.004,09:23:26,13-11-2024
nacion,bank,3.75,0.01,3.82,0.01,09:23:26,13-11-2024
Interbank,bank,3.761,0.006,3.823,-0.012,09:23:26,13-11-2024
scotiabank,bank,3.779,0.001,3.805,-0.007,09:23:26,13-11-2024
Yuan,currency,0.5,0.01,0.585,0.005,09:23:26,13-11-2024
canada,currency,2.635,0.005,2.783,0.0,09:23:26,13-11-2024
euro ocoña,currency,4.14,-0.01,4.165,-0.005,09:23:26,13-11-2024
Libra,currency,4.92,0.02,5.06,0.0,09:23:26,13-11-2024
bbva,bank,3.727,0.026,3.856,-0.008,09:42:55,13-11-2024
bcp,bank,3.749,-0.003,3.835,-0.004,09:42:55,13-11-2024
nacion,bank,3.75,0.01,3.82,0.01,09:42:55,13-11-2024
Interbank,bank,3.761,0.006,3.823,-0.012,09:42:55,13-11-2024
scotiabank,bank,3.779,0.001,3.805,-0.007,09:42:55,13-11-2024
Yuan,currency,0.5,0.01,0.585,0.005,09:42:55,13-11-2024
canada,currency,2.635,0.005,2.783,0.0,09:42:55,13-11-2024
euro ocoña,currency,4.14,-0.01,4.165,-0.005,09:42:55,13-11-2024
Libra,currency,4.92,0.02,5.06,0.0,09:42:55,13-11-2024
bbva,bank,3.727,0.026,3.856,-0.008,10:25:25,13-11-2024
bcp,bank,3.749,-0.003,3.835,-0.004,10:25:25,13-11-2024
nacion,bank,3.75,0.01,3.82,0.01,10:25:25,13-11-2024
Interbank,bank,3.761,0.006,3.823,-0.012,10:25:25,13-11-2024
scotiabank,bank,3.779,0.001,3.805,-0.007,10:25:25,13-11-2024
Yuan,currency,0.5,0.01,0.585,0.005,10:25:25,13-11-2024
canada,currency,2.635,0.005,2.783,0.0,10:25:25,13-11-2024
euro ocoña,currency,4.14,-0.01,4.165,-0.005,10:25:25,13-11-2024
Libra,currency,4.92,0.02,5.06,0.0,10:25:25,13-11-2024
bbva,bank,3.727,0.026,3.856,-0.008,10:42:46,13-11-2024
bcp,bank,3.749,-0.003,3.835,-0.004,10:42:46,13-11-2024
nacion,bank,3.75,0.01,3.82,0.01,10:42:46,13-11-2024
Interbank,bank,3.761,0.006,3.823,-0.012,10:42:46,13-11-2024
scotiabank,bank,3.779,0.001,3.805,-0.007,10:42:46,13-11-2024
Yuan,currency,0.5,0.01,0.585,0.005,10:42:46,13-11-2024
canada,currency,2.635,0.005,2.783,0.0,10:42:46,13-11-2024
euro ocoña,currency,4.14,-0.01,4.165,-0.005,10:42:46,13-11-2024
Libra,currency,4.92,0.02,5.06,0.0,10:42:46,13-11-2024
bbva,bank,3.727,0.026,3.856,-0.008,11:28:32,13-11-2024
bcp,bank,3.749,-0.003,3.835,-0.004,11:28:32,13-11-2024
nacion,bank,3.75,0.01,3.82,0.01,11:28:32,13-11-2024
Interbank,bank,3.761,0.006,3.823,-0.012,11:28:32,13-11-2024
scotiabank,bank,3.779,0.001,3.805,-0.007,11:28:32,13-11-2024
Yuan,currency,0.5,0.01,0.585,0.005,11:28:32,13-11-2024
canada,currency,2.635,0.005,2.783,0.0,11:28:32,13-11-2024
euro ocoña,currency,4.14,-0.01,4.165,-0.005,11:28:32,13-11-2024
Libra,currency,4.92,0.02,5.06,0.0,11:28:32,13-11-2024
bbva,bank,3.727,0.026,3.856,-0.008,11:46:43,13-11-2024
bcp,bank,3.749,-0.003,3.835,-0.004,11:46:43,13-11-2024
nacion,bank,3.75,0.01,3.82,0.01,11:46:43,13-11-2024
Interbank,bank,3.761,0.006,3.823,-0.012,11:46:43,13-11-2024
scotiabank,bank,3.779,0.001,3.805,-0.007,11:46:43,13-11-2024
Yuan,currency,0.5,0.01,0.585,0.005,11:46:43,13-11-2024
canada,currency,2.635,0.005,2.783,0.0,11:46:43,13-11-2024
euro ocoña,currency,4.14,-0.01,4.165,-0.005,11:46:43,13-11-2024
